ImeReditelja,ukupnaZarada
Frank Darabont,165142843.0
Francis Ford Coppola,275737922.0
Christopher Nolan,1749080945.0
Sidney Lumet,122394750.87
Peter Jackson,1035942020.0
Quentin Tarantino,530414172.0
Steven Spielberg,1585840737.0
David Fincher,304922934.0
Robert Zemeckis,540861944.0
Sergio Leone,46243016.0
Lana Wachowski,171479930.0
Martin Scorsese,525219198.0
Irvin Kershner,290475067.0
Milos Forman,163973029.0
Thomas Kail,68034750.87
Bong Joon Ho,53381975.0
Sudha Kongara,68034750.87
Fernando Meirelles,7563397.0
Hayao Miyazaki,86778347.87
Roberto Benigni,57598247.0
Jonathan Demme,130742922.0
George Lucas,322740140.0
Masaki Kobayashi,68034750.87
Akira Kurosawa,412765124.22
Frank Capra,150029501.74
Todd Phillips,335451311.0
Damien Chazelle,164193803.0
Olivier Nakache,13182281.0
Roman Polanski,129607327.87
Ridley Scott,527908033.0
Tony Kaye,6719864.0
Bryan Singer,473691144.0
Luc Besson,19501238.0
Roger Allers,422783777.0
James Cameron,328403598.0
Giuseppe Tornatore,12249528.0
Isao Takahata,69541725.87
Alfred Hitchcock,157646625.87
Michael Curtiz,1024560.0
Charles Chaplin,79405651.87
Nadine Labaki,1661096.0
Can Ulkay,68034750.87
Gayatri,68034750.87
Makoto Shinkai,5017246.0
Nitesh Tiwari,13290336.0
Bob Persichetti,190241310.0
Anthony Russo,1537188482.0
Lee Unkrich,624730895.0
Rajkumar Hirani,87401323.87
Aamir Khan,1223869.0
Andrew Stanton,604651425.0
Florian Henckel von Donnersmarck,11286112.0
Chan-wook Park,2714269.0
Stanley Kubrick,357917921.61
Hrishikesh Mukherjee,68034750.87
Billy Wilder,197534394.74
Sam Mendes,289324245.0
Rahi Anil Barve,68034750.87
Sriram Raghavan,1373943.0
Jeethu Joseph,68034750.87
Thomas Vinterberg,2334965.0
Asghar Farhadi,7205154.0
Denis Villeneuve,260459696.0
Mehmet Ada Öztekin,68034750.87
Çagan Irmak,68034750.87
Michel Gondry,34400301.0
Jean-Pierre Jeunet,33225499.0
Guy Ritchie,34225725.0
Darren Aronofsky,136826763.0
Gus Van Sant,138433435.0
Majid Majidi,933933.0
John Lasseter,191796233.0
Mel Gibson,142809615.0
Elem Klimov,68034750.87
Brian De Palma,45598982.0
Richard Marquand,309125409.0
Wolfgang Petersen,11487676.0
George Roy Hill,261908889.0
David Lean,269488894.87
Stanley Donen,8819028.0
Vittorio De Sica,332930.0
Orson Welles,3823293.0
Fritz Lang,1265043.0
Aditya Dhar,4186168.0
Prashanth Neel,68034750.87
Peter Farrelly,85080171.0
Martin McDonagh,62270870.0
Meghna Gulzar,342370.0
S.S. Rajamouli,26924659.0
Sergio Pablos,68034750.87
Nishikant Kamat,739478.0
Vikas Bahl,1429534.0
Zaza Urushadze,144501.0
Rakeysh Omprakash Mehra,3823620.0
Anurag Kashyap,68045700.87
Vikramaditya Motwane,7461.0
Tigmanshu Dhulia,39567.0
Juan José Campanella,6391436.0
Gavin O'Connor,13657115.0
Pete Docter,1007416881.87
Shimit Amin,1113541.0
Paul Thomas Anderson,62678490.0
Guillermo del Toro,37634615.0
James McTeigue,70511035.0
Sanjay Leela Bhansali,733094.0
Ashutosh Gowariker,1293387.0
Oliver Hirschbiegel,5509040.0
Ron Howard,259339876.0
Priyadarshan,68034750.87
Curtis Hanson,64616940.0
Yavuz Turgul,68034750.87
Michael Mann,67436818.0
Rajkumar Santoshi,68034750.87
Clint Eastwood,363501034.0
Emir Kusturica,799757.0
John McTiernan,83008852.0
Andrei Tarkovsky,136583590.74
Ingmar Bergman,280378691.48
Moustapha Akkad,68034750.87
Ramesh Sippy,68034750.87
Terry Gilliam,58370656.0
John Sturges,12100000.0
Robert Mulligan,68034750.87
Stanley Kramer,136069501.74
Jules Dassin,57226.0
Yasujirô Ozu,68034750.87
Joseph L. Mankiewicz,4091431.0
John Huston,7122060.0
Ernst Lubitsch,68238050.87
Buster Keaton,977375.0
Céline Sciamma,3759854.0
Aniruddha Roy Chowdhury,1241223.0
Naoko Yamada,68034750.87
Oriol Paulo,68034750.87
Xavier Dolan,3492754.0
Vishal Bhardwaj,901610.0
James Mangold,343901096.0
Lenny Abrahamson,14677674.0
Damián Szifron,3107072.0
Nuri Bilge Ceylan,304250.0
Umesh Shukla,923221.0
Wes Anderson,112118468.0
Mamoru Hosoda,68034750.87
Anurag Basu,2804874.0
Steve McQueen,56671993.0
Tom McCarthy,45055776.0
Tomm Moore,857524.0
Sujoy Ghosh,1035953.0
Zoya Akhtar,8675019.0
George Miller,154058340.0
Neeraj Pandey,137148870.74
David Yates,381011219.0
Yôjirô Takita,1498210.0
Lasse Hallström,68034750.87
Adam Elliot,68034750.87
Dean DeBlois,217581231.0
Sean Penn,18354356.0
Ethan Coen,74283625.0
Terry George,23530892.0
Je-kyu Kang,1111061.0
Richard Linklater,44850656.0
Farhan Akhtar,300000.0
Alejandro G. Iñárritu,189021728.0
Hideaki Anno,68034750.87
M. Night Shyamalan,293506292.0
Peter Weir,221478317.0
Joel Coen,42110779.0
Kar-Wai Wong,3334244.0
Danny Boyle,157821713.0
Mathieu Kassovitz,309811.0
Aditya Chopra,68034750.87
Krzysztof Kieslowski,4043686.0
Jim Sheridan,25010410.0
Kaige Chen,5216888.0
Yimou Zhang,2603061.0
Rob Reiner,83145228.0
Oliver Stone,208936063.0
Wim Wenders,5515956.0
John Carpenter,13782838.0
Alan Parker,22244207.0
Werner Herzog,68034750.87
David Lynch,74237794.87
Terry Jones,20045115.0
Michael Cimino,48979328.0
John G. Avildsen,117235247.0
Peter Bogdanovich,60066743.0
Jean-Pierre Melville,39481.0
Stuart Rosenberg,16217773.0
Gillo Pontecorvo,55908.0
Luis Buñuel,68034750.87
Robert Aldrich,4050000.0
John Ford,68089750.87
François Truffaut,68034750.87
William Wyler,166384750.87
Federico Fellini,88353485.87
Elia Kazan,17600000.0
Henri-Georges Clouzot,136069501.74
Raoul Walsh,68034750.87
Carol Reed,449191.0
Michael Powell,10900000.0
Victor Fleming,200752479.0
Jean Renoir,68207635.87
Carl Theodor Dreyer,21877.0
F.W. Murnau,539540.0
Clyde Bruckman,1033895.0
Robert Wiene,68034750.87
Amit Ravindernath Sharma,68034750.87
Ericson Core,68034750.87
Raja Menon,68034750.87
Kabir Khan,8178001.0
Garth Davis,51739495.0
Byron Howard,341268248.0
Stephen Chbosky,150161379.0
Destin Daniel Cretton,1010414.0
Gareth Evans,2625803.0
Morten Tyldum,91125683.0
James Gunn,333176600.0
Spike Jonze,25568251.0
José Padilha,108179.0
Tom Hooper,138797449.0
Tate Taylor,169708112.0
Tim Miller,363070709.0
Wilson Yip,68034750.87
Karan Johar,4018695.0
Levent Semerci,68034750.87
Joss Whedon,623279547.0
Vincent Paronnaud,4445756.0
Jean-Marc Vallée,27298285.0
Gabriele Muccino,163566459.0
Edward Zwick,57366262.0
Paul Greengrass,227471070.0
Ki-duk Kim,2619295.0
Frank Miller,74103820.0
Julian Schnabel,5990075.0
Ömer Faruk Sorak,68034750.87
Brad Bird,491046051.0
Martin Campbell,167445960.0
Andrey Zvyagintsev,502028.0
Alejandro Amenábar,2086345.0
Nikkhil Advani,1787378.0
Andrew Lau,169659.0
Gore Verbinski,305413918.0
Tim Burton,66257002.0
Jae-young Kwak,68034750.87
Lars von Trier,5714422.0
Yilmaz Erdogan,68034750.87
Richard Kelly,1480006.0
Satoshi Kon,776665.0
Walter Salles,5595428.0
Thomas Jahn,3296.0
Billy Bob Thornton,24475416.0
Mike Leigh,13417292.0
Mamoru Oshii,515905.0
Henry Selick,75082668.0
Harold Ramis,70906973.0
Taylor Hackford,4496583.0
Martin Brest,63895607.0
Ron Clements,217350219.0
Gary Trousdale,218967620.0
Kevin Costner,184208848.0
Spike Lee,27545445.0
Barry Levinson,178800000.0
Katsuhiro Ôtomo,553171.0
Louis Malle,4542825.0
Richard Attenborough,52767889.0
Hal Ashby,30177511.0
Woody Allen,39200000.0
Mel Brooks,86300000.0
Franklin J. Schaffner,86662426.0
William Friedkin,232906145.0
Norman Jewison,80500000.0
Bernardo Bertolucci,541940.0
Mike Nichols,172980055.87
Robert Wise,163214286.0
Jean-Luc Godard,68034750.87
Robert Rossen,8284000.0
Howard Hawks,12535000.0
Otto Preminger,16260000.0
Richard Brooks,17570324.0
Alexander Mackendrick,68034750.87
Charles Laughton,654000.0
Nicholas Ray,68034750.87
Robert Hamer,68034750.87
Jacques Tourneur,68034750.87
W.S. Van Dyke,68034750.87
Lewis Milestone,3270000.0
Sergei M. Eisenstein,50970.0
Rian Johnson,165359751.0
Mukesh Chhabra,68034750.87
Hirokazu Koreeda,3313513.0
Noah Baumbach,2000000.0
Luca Guadagnino,18095701.0
Ken Loach,258168.0
Taika Waititi,320610426.0
Matt Ross,5875006.0
John Carney,3237118.0
Dan Gilroy,32381218.0
J.J. Abrams,1194392244.0
Michel Hazanavicius,44671682.0
Doug Liman,100206256.0
Michael Haneke,6739492.0
Jacques Audiard,2084637.0
Duncan Jones,5009677.0
Tomas Alfredson,2122065.0
Neill Blomkamp,115646235.0
Imtiaz Ali,410800.0
Cristian Mungiu,1185783.0
Richard Schenkman,68034750.87
Tarsem Singh,2280348.0
Ang Lee,124987023.0
