ImeReditelja,ukupnaZarada
Jean-Marc Vallée,136069501.74
Christophe Barratier,7270328.0
Jon Favreau,636824202.0
Edgar Wright,182186140.0
Fatih Akin,137552067.74
Clint Eastwood,351126801.0
Alfonso Cuarón,1277718771.74
Yimou Zhang,107420038.0
Pedro Almodóvar,38283402.0
Danis Tanovic,2119660.0
Shin'ichirô Watanabe,2000090.0
Doug Liman,243323366.0
Fabián Bielinsky,2442522.0
Cameron Crowe,65069700.0
David Lynch,26788413.0
John Lasseter,491704358.0
Paul Thomas Anderson,52801280.0
Yoshifumi Kondô,136069501.74
Lee Tamahori,4402252.0
Tony Scott,102474774.0
Krzysztof Kieslowski,8114483.0
Yoshiaki Kawajiri,136220587.74
Brian De Palma,226437552.0
Tim Burton,124499618.0
Jim Sheridan,45026048.0
Woody Allen,435265435.87
Terry Gilliam,30538545.0
Rob Reiner,358847238.0
Bob Clark,41210418.0
John Landis,114459780.0
Bob Fosse,161177352.0
George A. Romero,10378058.0
Alan J. Pakula,141200000.0
Alejandro Jodorowsky,122002.0
Federico Fellini,136069501.74
Luis Buñuel,423949.0
Werner Herzog,136069501.74
Hal Ashby,136069501.74
Franklin J. Schaffner,123400000.0
Sam Peckinpah,24128944.0
Anthony Harvey,44553950.0
Norman Jewison,99428862.0
Stanley Donen,26949176.0
John Frankenheimer,136069501.74
Stanley Kubrick,60000000.0
Michelangelo Antonioni,204104252.61
Alain Resnais,176600.0
Cecil B. DeMille,187480000.0
John Ford,282689003.48
Elia Kazan,136069501.74
Fred Zinnemann,109862510.0
Alfred Hitchcock,455800034.22
Henry Koster,136069501.74
George Seaton,5300000.0
Howard Hawks,557950006.96
Billy Wilder,86954750.87
George Cukor,280069501.74
Michael Curtiz,7962000.0
Sam Wood,5075040.0
Merian C. Cooper,20000000.0
Tod Browning,136069501.74
F.W. Murnau,136069501.74
Guy Ritchie,345098180.74
Meghna Gulzar,136069501.74
Darius Marder,136069501.74
Asghar Farhadi,7465326.0
Christopher Nolan,376746322.0
Paolo Genovese,136069501.74
Theodore Melfi,339214574.0
Paul King,80884104.0
Abhishek Chaubey,136069501.74
Travis Knight,96046176.0
Neeraj Pandey,3565590.0
Kenneth Lonergan,95390240.0
Martin Zandvliet,870532.0
Gareth Edwards,1064354648.0
Anthony Russo,1335701842.0
Quentin Tarantino,250737560.0
Greta Gerwig,216202428.0
Dorota Kobiela,13470236.0
Matthew Warchus,136069501.74
Paolo Sorrentino,5704800.0
Ritesh Batra,8463000.0
Shoojit Sircar,338418.0
Don Hall,445055656.0
Richard Curtis,30645842.0
Gauri Shinde,3341546.0
Hayao Miyazaki,297648563.48
Josh Cooley,868076016.0
Giuseppe Tornatore,170866.0
Wes Anderson,160494161.0
Dean DeBlois,354005848.0
Adam McKay,140519740.0
Tetsuya Nakashima,136069501.74
Jee-woon Kim,256784.0
David Fincher,783703006.0
Paul Greengrass,390443651.0
Jeong-beom Lee,12920.0
F. Gary Gray,322395570.0
Bong Joon Ho,1094584.0
Hong-jin Na,136069501.74
Peter Jackson,1122740846.0
Michael Haneke,72480044.87
Niels Arden Oplev,20190340.0
Aaron Sorkin,136069501.74
Thomas Vinterberg,136069501.74
David O. Russell,319326976.0
Pierre Morel,290001978.0
Mark Herman,18061162.0
John Carney,18879846.0
Joe Wright,178664310.0
Nicolas Winding Refn,70123110.0
Ridley Scott,368968035.0
James Cameron,2839666008.0
Jaco Van Dormael,7200.0
Mel Gibson,101733270.0
Jonathan Dayton,119782196.0
Yash Chopra,5843476.0
Anders Thomas Jensen,2610.0
Roger Donaldson,10256248.0
Satoshi Kon,1139272.0
