ImeAutora,ZbirnaPopularnost,BrojPesama
nylon beat,53.34,1
die ãƒâ€žrzte,100.0,1
lorenzo antonio,100.0,1
ciara,147.86,2
missy elliott,147.86,2
wilfrido vargas,0.0,1
mamonas assassinas,66.67,1
fluitsma & van tijn,100.0,1
the yeah you's,100.0,1
rodney atkins,80.0,1
kristy lee cook,100.0,1
dani martãƒâ­n,100.0,1
danny daniel,100.0,1
julio iglesias,100.0,1
lacy j. dalton,100.0,1
funk como le gusta,100.0,1
cross canadian ragweed,100.0,1
brantley gilbert,100.0,1
metro station,100.0,1
mk,63.27,1
veronica maggio,42.87,1
logic,4.02,1
alessia cara,4.02,1
khalid,4.02,1
skid row,2.18,1
saving abel,100.0,1
billie eilish,5.43,1
willi herren,100.0,1
chipz,94.12,1
falamansa,55.56,1
carlos rivera,100.0,1
maluma,100.0,1
noel torres,100.0,1
children's song,100.0,1
gary morris,43.94,1
dannii minogue,87.1,1
kylie minogue,87.1,1
enrique guzmãƒâ¡n,90.0,1
pepe aguilar,100.0,1
kellie pickler,100.0,1
crystal waters,6.9,1
chiclete com banana,33.33,1
jackson wang,95.0,1
five for fighting,17.36,1
rex orange county,97.5,1
tate mcrae,22.22,1
tiãƒâ«sto,22.22,1
gusttavo lima,20.0,1
third eye blind,96.77,1
conjuto primavera,0.0,1
chris boettcher,0.0,1
markus becker,100.0,1
example,100.0,1
inna,80.0,1
play & win,80.0,1
victor & leo,0.0,1
