Godina,Zanr,BrojPesama
2003,Pop,2
2003,Latin,1
2003,Rock,1
1998,Indie rock,1
1998,Alternative,1
1986,Latin,1
1986,Pop,1
2004,Pop,2
2004,RnB,1
2004,Hip Hop,1
2004,Latin,1
1989,Latin,1
1989,Pop,1
1989,Rock,1
1989,Metal,1
1995,Rock,1
1995,Pop,1
1996,Pop,1
2009,Rock,1
2009,Pop,1
2009,Schlager,1
2009,Folk,1
2000,Folk,2
2000,Rock,1
2000,Pop,1
2010,Pop,2
2010,Latin,1
2015,Latin,2
2015,Pop,2
2015,Rock,1
2015,Folk,1
1973,Latin,1
1973,Ballad,1
1982,Rock,1
1982,Pop,1
1982,Folk,1
1999,Soul,1
1999,Latin,1
1999,Electronic,1
1999,Rock,1
1999,Pop,1
1999,Alternative,1
2002,Folk,1
2002,Pop,1
2002,Children,1
2014,Folk,1
2014,Pop,2
2014,Latin,1
2014,Rock,1
2014,Hip Hop,1
2014,Electronic,1
2007,Rock,1
2007,Pop,2
2007,Latin,1
2018,Pop,1
2018,Electronic,1
2008,Pop,1
2017,Soul,1
2017,RnB,1
2017,Pop,1
2017,Hip Hop,1
2017,Alternative,1
2019,Pop,2
2019,Electronic,1
2019,Alternative,1
2005,Schlager,1
2005,Pop,1
2006,Pop,1
2006,Eurodance,1
2020,Latin,1
2020,Pop,2
2013,Latin,2
2013,Pop,1
1985,Rock,1
1985,RnB,1
1985,Folk,1
2016,Pop,1
2016,Electronic,1
2012,Folk,1
1994,Pop,1
2022,Pop,1
2022,Electronic,1
