ImeAutora,ZbirnaPopularnost,BrojPesama
apulanta,12.04,2
jay z,95.24,1
beyoncã©,224.37,4
jay-z,9.35,1
b young,95.56,1
sam white,91.8,1
martin solveig,91.8,1
nelly,44.53,1
maiara & maraisa,91.3,1
ana diaz,83.21,1
lotta engberg,29.17,1
anna-maria zimmermann,100.0,1
dan,87.33,1
shay,87.33,1
justin bieber,87.33,1
k3,86.96,1
alphabeat,93.64,1
backstreet boys,41.84,1
matt redman,89.39,1
kim walker-smith,89.39,1
randy montana,95.83,1
renascer praise,55.56,1
kimmo kuusniemi band,87.88,1
h.e.a.t,8.7,1
hoodoo gurus,88.64,1
meek mill,93.24,1
a boogie wit da hoodie,93.24,1
ed sheeran,93.24,1
tori amos,9.64,1
natalie bassingthwaighte,96.55,1
antonia aus tirol,100.0,1
mickie krause,100.0,1
jazmine sullivan,97.22,1
sugar ray,92.86,1
daã°i & gagnamagniã°,89.16,1
daã°i freyr,89.16,1
cassadee pope,6.67,1
luis miguel,75.0,1
travis barker,100.0,1
yungblud,100.0,1
halsey,100.0,1
maluma,96.0,1
hanoi rocks,94.12,1
lucas lucco,0.0,1
fito paez,68.75,1
roberto carlos,66.67,1
gloria estefan,150.0,2
el simbolo,100.0,1
miami sound machine,50.0,1
len barry,48.15,1
feist,22.32,1
plain white t's,104.17,2
generic,100.0,1
traditional,100.0,1
coolio,100.0,1
fruitgum co.,100.0,1
simone & simaria,57.14,1
